"","Practice.Code","Volume","Cost","ID","Cluster"
"1","00D998",2954,616.87756,1,1
"2","00G998",8,1.06551,2,1
"3","00H998",356,12.98574,3,1
"4","00K998",13119,526.82243,4,1
"5","00L998",1396,168.5445,5,1
"6","00M998",190,8.90545,6,1
"7","00N998",1000,35.0767,7,1
"8","00P998",206,10.84387,8,1
"9","00T998",5605,392.89555,9,1
"10","00V998",101,40.47725,10,1
"11","00Y998",13220,18991.89961,11,1
"12","01A998",1115,188.21255,12,1
"13","01F998",2086,238.37884,13,1
"14","01G998",354,50.57002,14,1
"15","01H998",6071,661.33589,15,1
"16","01J998",6524,270.28848,16,1
"17","01M998",1046,22.11591,17,1
"18","01N998",3705,58.10785,18,1
"19","01T998",140,6.57127,19,1
"20","01W998",792,90.04426,20,1
"21","02A998",402,25.59738,21,1
"22","02E998",24,7.50268,22,1
"23","02H998",26397,1964.8927,23,1
"24","02M998",6498,982.48337,24,1
"25","02P998",1211,1076.75651,25,1
"26","02R998",1063,70.48885,26,1
"27","02T998",37154,666.94138,27,1
"28","02W998",56522,2079.91337,28,1
"29","02X998",14665,1110.53757,29,1
"30","02Y998",41247,4533.1166,30,1
"31","03A998",11784,340.34347,31,1
"32","03C998",1884,51.13394,32,1
"33","03E998",10299,994.5623,33,1
"34","03F998",53853,4098.07143,34,1
"35","03G998",14047,1186.03011,35,1
"36","03H998",938,152.17792,36,1
"37","03J998",2733,136.08949,37,1
"38","03K998",175,23.85869,38,1
"39","03L998",2163,110.97009,39,1
"40","03M998",21,1.56436,40,1
"41","03N998",8678,545.24276,41,1
"42","03Q998",23868,2647.79242,42,1
"43","03R998",1741,197.22986,43,1
"44","03W998",3961,49.47524,44,1
"45","03X998",1994,308.41875,45,1
"46","03Y998",28,0.97314,46,1
"47","04C998",22141,1718.81239,47,1
"48","04D998",532,169.76457,48,1
"49","04F998",3049,497.57035,49,1
"50","04G998",9629,588.95815,50,1
"51","04J998",28,5.71977,51,1
"52","04K998",236,31.88502,52,1
"53","04L998",3123,291.31677,53,1
"54","04R998",29949,1515.42662,54,1
"55","04V998",401,47.52759,55,1
"56","04X998",18392,508.49988,56,1
"57","05A998",310510,17953.07222,57,1
"58","05F998",196,12.31745,58,1
"59","05G998",141,15.00859,59,1
"60","05H998",278,14.3788,60,1
"61","05J998",2860,100.83573,61,1
"62","05L998",7033,881.89448,62,1
"63","05N998",157,7.65235,63,1
"64","05P998",2231,52.2034,64,1
"65","05Q998",289,22.62869,65,1
"66","05R998",5358,823.56253,66,1
"67","05T998",3338,39.37442,67,1
"68","05W998",994102,17843.4562,68,1
"69","05X998",5351,491.28081,69,1
"70","05Y998",14,13.08086,70,1
"71","06A998",1228,127.12793,71,1
"72","06F998",2567,309.79248,72,1
"73","06H998",28050,1327.16121,73,1
"74","06K998",1080,108.46818,74,1
"75","06L998",53107,2212.75533,75,1
"76","06M998",28827,2009.3249,76,1
"77","06N998",12184,1288.41597,77,1
"78","06P998",336,25.51518,78,1
"79","06Q998",2151,326.12894,79,1
"80","06T998",7574,1240.99026,80,1
"81","06V998",68,27.83362,81,1
"82","06W998",1318663,34568.20288,82,1
"83","06Y998",396,108.96088,83,1
"84","07H998",2654,105.69578,84,1
"85","07J998",245,3.26251,85,1
"86","07K998",11756,359.31788,86,1
"87","07M998",16345,2683.73159,87,1
